Application,Status,Radar Segment,Impacted by Phoenix,Primary CGL,Original Environment (column to be deleted),Environment,Location,Function,Function Description,Category,AI Enabled,Platform Description,Retirement (This column to be deleted),Lifecycle,Trajectory,Action,Initial Action Timeline,Complete Action Timeline,Bridge Required ,New Platform,New Sub-Module/Application,Comments,Solution Details,Primary SI,Primary Architect,App Owner,Original Tab (for reference),"Found in ""Enterprise Application Inventory""","Found in ""Application Inventory SharePoint""?"
IECB (Integration Engineering Change Board),3. GTO Done,Enterprise,Yes,Quality,Corp,Corp,,,,,,Delegated board for Integration/ET changes,Wave 2,Current,Replace,1:N - replacement,Q1'26,Q1'27,No,SAP QM,,"Delegated board for Integration/ET changes. Teamcenter will manage change management. Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/13 -IECB will be managed in SAP QM by Release 6 - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
iCASE - Incidents,5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,Cutomer irritants cases managed by CQ from Customers,Release 3,,,1:N - replacement,,,,"Teamcenter, SAP QM?, MES?",,"Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/13: This is a duplicate entry, captured iCASE in row 81 - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
Incident - Fab Operation Incidents,5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,"Equipment alarm, Process, OOC and many Operation related Incidents",Wave 2,,,1:N - replacement,,,,"Teamcenter, SAP QM?, MES?",,Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
Incident - Global CE Incidents,5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,PRF Execution; SLT Change for Q*; Wafer abnormality Incidents,Wave 2,,,1:N - replacement,,,,"Teamcenter, SAP QM?, MES?",,Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
Incident - Global DTE Incidents,5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,Contains - Design Technology Enablement Incidentsk; Bug Tracker/ PDK Incidents; Pre Fab (PPF) Incident,Release 3,,,1:N - replacement,,,,"Teamcenter, SAP QM?, MES?",,Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
Incident - Global IP Incidents,5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,Contains IP - Customer Reqported Issue; GF Reported Issues; IP Partner Reported Issues,Release 3,,,1:N - replacement,,,,"Teamcenter, SAP QM?, MES?",,Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
Incident - Incoming Material Incident (IMI/SQM),5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,"All Incoming / SQE related Material issues and Mask-Reticles, PAN (SQM/SCAR)",Release 4,,,1:N - replacement,,, Yes,"Teamcenter, SAP QM?, MES?",,Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
Incident - Post Fab/OSAT Operation (PPF) Incidents,5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,"BTF, BTV, OSAT - test related Incidents",Wave 2,,,1:N - replacement,,,,"Teamcenter, SAP QM?, MES?",,Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
Incident - Security/ EHS Incidents,5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,"Security Violation, Threat, System Incidents (Only SGP)",Release 3,,,1:N - replacement,,,,"Teamcenter, SAP QM?, MES?",,Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
Incident - Supply Planning Incidents,5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,Write off for Aged Wafers; MES_Oracle Issue,Wave 2,,,1:N - replacement,,,,"Teamcenter, SAP QM?, MES?",,Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
IP Qualification Workflow: OS-029889,5. Duplicate App,,TBD,Quality,Corp,Corp,,,,,,"Goes through multiple systems: SFDC, Agile-PLM, Quartz, REGA",TBD,,,,,,,,,"TBD
2/13: This is a business process, not an application - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
PCRB,3. GTO Done,Enterprise,Yes,Quality,Corp,Corp,,,Custom app built using .Net,,,Delegated board for IP Changes,Release 3,Current,Replace,1:N - replacement,Q1'26,Q1'27, Yes,SAP QM,,"Delegated board for IP Changes. Teamcenter will manage change management. Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/13 - Quality related Change Review Board process are currently in a app developed inhouse ""PCRB"". These will be replaced by SAP QM - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
IQA (Incoming Quality Assurance) - CamLine,3. GTO Done,Enterprise,Yes,Quality,Corp,Corp,,,,,,Supplier Quality Management software for Incoming QA,Release 4,Current,Replace,1:N - replacement,Q1'26,Q1'27, Yes,SAP QM,,Bridge for CRM connections to Supplier. Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
AMMO,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab1, Fab8",Corp,"Fab1, Fab8, Fab7",Manufacturing,Wafer marking app for APC,Manufacturing,No,Wafer Sampling Selection,,Current,Hold,no change,,,,,,No Change,,,Torsten Happ,Joerg Nothnagel,"Manufacturing, Technology & IT",TRUE,TRUE
iShare App,5. Duplicate App,,Delete,Quality,Corp,Corp,,,,,,Global Internal Sharing of Quality incidents,,,,,,,,,,,,,Adarsh,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
ISHARE App (Internal GF Sharing),3. GTO Done,Enterprise,Yes,Quality,Corp,Corp,,,Internatl GF sharing app.  Custom app built using .Net,,,IShare done after 8D ICAR completion,,Current,Replace,1:N - replacement,Q1'26,Q1'27,No,TBD,,TBD (potential merge into future app) - Adarsh,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
iTest,3. GTO Done,Enterprise,Yes,Quality,Corp,Corp,,,Custom app built using .Net,,,ETest Program Change Management (SGP),TBD,,,,,,,,,TBD,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
Jira,1. Not Started,Technology & IT,"Delete, N",Quality,"Corp, Fab1, Fab8",Corp,"Fab1, Fab8",,,,, Used for software development tracking,,,,,,,,,, No Change,,,Torsten Happ,,"Manufacturing, Technology & IT",TRUE,TRUE
"Material Specs (SQM) in Agile-PLM --> IQA, Supplier Portal",5. Duplicate App,,TBD,Quality,Corp,Corp,,,,,,Part of IQA scope,TBD,,,,,,,,,"TBD
2/13: This is not a app, it’s a spec in Agile PLM, find new home in Release 6 - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
MCRB (Mask Change Review Board),3. GTO Done,Enterprise,Yes,Quality,Corp,Corp,,,,,,Delegated board for Mask changes,Release 4,Current,Replace,1:N - replacement,Q1'26,Q1'27, Yes,SAP QM,,Delegated board for Mask changes. Teamcenter will manage change management. Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
MECB (Manufacturing Engineering Change Board),3. GTO Done,Enterprise,Yes,Quality,Corp,Corp,,,,,,Delegated board for Mfg changes,Wave 2,Current,Replace,1:N - replacement,Q1'26,Q1'27,Yes,SAP QM,,"Delegated board for Mfg changes. Teamcenter will manage change management. Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/13: MECB will be replaced with SAP QM - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
MERF/MSIR (MatQual),3. GTO Done,,Yes,Quality,Corp,Corp,,,,,,New Material Qualification,TBD,,,,,,,,,"TBD
2/13: This is not a app, its business process - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
Missing: OQA & Post-processing QMS Integration,5. Duplicate App,,TBD,Quality,Corp,Corp,,,,,,TBD,TBD,,,,,,,,,"TBD
2/13: This is not a app, its business process - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
Missing: Skill-Matrix with eOJT / OJT and SAP-PM linkage,5. Duplicate App,,TBD,Quality,Corp,Corp,,,,,,"Manager Dashboard to validate Team coverage & skill training. Needs interface with Workday, SumTotal and SAP",TBD,,,,,,,,,"TBD
2/13: This is not a app, its business process - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
"MRB - Fab, OSAT/PF Operation & incoming",5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,"Non Conformance detected at Fab, Post Fab/ OSAT & Incoming",Wave 2,,,1:N - replacement,,,,"Teamcenter, SAP QM?, MES?",,"Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/13: This is not a app, its business process in iCASE - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
"New: Automotive Tools (PSL, PPAP, etc.)",5. Duplicate App,,TBD,Quality,Corp,Corp,,,,,,"Custom workflows to maintain and document for Automotive Projects: Product Safe Launch (PSL), PPAP (Production Part Approval Process)",TBD,,,,,,,,,TBD,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
"New: No Software, using Sharepoint/Agile-PLM/ICARs",5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,"Auditor Software, Documentation, Tracking",Release 5,,,1:N - replacement,,, Yes,"Teamcenter, SAP QM?",,"R3: Alpha, R5: Beta; Bridge required for Supplier. Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
PCM Quality,5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,Process Change Management for TD Quality. Also known as Document Change Review Board (DCRB),Release 3,,,1:N - replacement,,,,"Teamcenter, SAP QM?, MES?",,"PCM is Pre-M5 change management. Teamcenter will manage change management. Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/13: Duplicate entry, captured in row 324 - Adarsh",,,Adarsh,Sumeet Sharma,Enterprise,,
PCM Quality App,5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,Process Change Management for TD Quality. Also known as Document Change Review Board (DCRB),,,,1:N - replacement,,,,"Teamcenter, SAP QM?, MES?",,"PCM is Pre-M5 change management. Teamcenter will manage change management. Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/13: Duplicate entry, captured in row 324 - Adarsh",,,Adarsh,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
PCRB,5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,Process Change Request and Review,Wave 2,,,1:N - replacement,,,,"Teamcenter, SAP QM?, MES?",,"PCRB are manufacturing related change management. Teamcenter will manage change management. Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/13: Duplicate entry, captured in row 324 - Adarsh",,,Adarsh,Sumeet Sharma,Enterprise,,
PCRB App,5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,Process Change Request and Review,,,,1:N - replacement,,,Yes,"Teamcenter, SAP QM?, MES?",,"PCRB are manufacturing related change management. Teamcenter will manage change management. Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/13: Duplicate entry, captured in row 324 - Adarsh",,,Adarsh,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
PRM (Process Reliability Monitoring),3. GTO Done,Enterprise,Yes,Quality,Corp,Corp,,,,,,PRM reporting to Internal & Customers,TBD,Current,Replace,,Q1'26,Q1'27, Yes,SAP QM,,"TBD
2/13: PRM will be repalced by SAP QM - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
RMA (Return Merchandise Authorization),3. GTO Done,Enterprise,Yes,Quality,Corp,Corp,,,,,,Returns management with Customer,Wave 2,Current,Replace,1:N - replacement,Q1'26,Q1'27, Yes,SAP QM,,Needs SAP release in all Fabs. Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
"Scrap - Fab, OSAT/PF Operation",5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,"Scrap detected at Fab, Post Fab/ OSAT",Wave 2,,,1:N - replacement,,,,"Teamcenter, SAP QM?, MES?",,Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
APC IN-HOUSE,3. GTO Done,Manufacturing,No,Process Control,"Corp, Giga",Prod,Giga,Manufacturing,,Manufacturing,No,Process Control,,Current,Hold,no change,,,,,,"Catalyst is introduced as R2R solution in giga, no plans yet to replace existing apps",,,Dirk Wollstein,,"Manufacturing, Technology & IT",TRUE,TRUE
Stature FMEA App,2. WIP,Enterprise,Yes,Quality,Corp,Corp,,,,,,Failure Mode and Effectiveness Analysis,,,Replace,1:N - replacement,,,,AP QM,,,,,Gopal,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
TIR App,1. Not Started,Enterprise,Retired,Quality,Corp,Corp,,,,,,Turnkey Incident Reporting,,,,1:N - replacement,,,,,,,,,Adarsh,Sumeet Sharma,"Manufacturing, Technology & IT",TRUE,TRUE
"UnScrap - Fab, OSAT/PF Operation",5. Duplicate App,,Y,Quality,Corp,Corp,,,,,,UnScrap request to already Scrapped Lot requests,Wave 2,,,1:N - replacement,,,,"Teamcenter, SAP QM?, MES?",,"Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/13: Duplicate entry, captured in row 81 - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
WDS (Wafer Disposition System),3. GTO Done,Enterprise,Yes,Quality,Corp,Corp,,,,,,B2B connection between GF & OSATs + Customers for data and dispo,Wave 2,Current,Assess,0:1 - new system,Q1'26,Q1'27, Yes,SAP QM,,"To be integrated into ICASE system. Discussions with SAP is on going actvity to determine the need of SAP QM as a mix solution - Adarsh
2/13: It will be replaced by SAP QM - Adarsh",,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
"Web Metrology, Web ePM, etc.",5. Duplicate App,,N,Quality,Corp,Corp,,,,,,"Metrology , GR&R , MSA, PM for Tools",TBD,,,,,,,,,TBD,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
Web SPSR (Special Process Step Request) at SGP Fabs,5. Duplicate App,,N,Quality,Corp,Corp,,,,,,"Similar to ERF used at Fab1, Fab8",TBD,,,,,,,,,TBD,,,Adarsh,Sumeet Sharma,"Enterprise, Manufacturing, Technology & IT",,
APF - AMA Lot Sampling jobs,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab7, Fab8, Giga",Prod,"Fab7, Giga",Manufacturing,Lot sampling decision and skip execution,Manufacturing,No,AMA jobs within multi-purpose APF plattform,,Legacy,Retire,1:0 - retirement,Q1'25,,Yes,PCL,iQSampling,F7: Stepwise reduction of AMA functionality: 1) Move lot selection decision to PCL 2) Move skip execution to PCL. GIGA later after further assessment,,,Detlef Pabst,Wei Hoe Lee,"Manufacturing, Technology & IT",,
BISTEL (FDC),3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab7",Prod,Fab7,Manufacturing,Fault Detection and  Classification,Manufacturing,No,Fault Detection & Control,,Current,Hold,no change,,,,,,Rationalization of FDC App is not focus for next few years,,,Dirk Wollstein,Louis Siaw,"Manufacturing, Technology & IT",TRUE,TRUE
BROOKSIDE FDC,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab9",Prod,Fab9,Manufacturing,tarce data collection,Manufacturing,No,Fault Detection & Control,,Current,Hold,no change,,,,,,Brookside FDC is used for trace data collection,,,Dirk Wollstein,Robert Vatter,"Manufacturing, Technology & IT",TRUE,TRUE
Catalyst framework,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab1, Fab7, Fab8",Prod,"Fab1, Fab7, Fab8, GIGA",Manufacturing,"framework for process control (PCL,APC,FDC)",Manufacturing,Potential,"Platform for PCL, RtR, FDC",,Current,Invest ,no change,,,,,,"invest, GIGA rollout ongoing",,,Dirk Wollstein,Joerg Nothnagel,"Manufacturing, Technology & IT",,
Catalyst R2R Applications,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab1, Fab7",Prod,"Fab1, Fab7, GIGA",Manufacturing,RTR applications in Catalyst,Manufacturing,Potential,R2R Control,,Current,Invest ,no change,,,,,,"invest, GIGA rollout ongoing",,,Dirk Wollstein,"Dirk Gleitsman,  Sim Kit","Manufacturing, Technology & IT",TRUE,TRUE
ECAP (Camline),3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab1, Fab7, Fab8, Giga",Prod,"Fab1, Fab7, Fab8, Giga",Manufacturing,electronic OCAP,Manufacturing,Potential,electronic OCAP,,Current,Invest ,no change,,,,,,system to setup electronic OCAP workflows ,,Camline,Dirk Wollstein,"Rocco Putzke, Qingyu Zheng ,  Douglas Crauder","Manufacturing, Technology & IT",TRUE,TRUE
EDATrendViewer,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab1",Prod,Fab1,Manufacturing,Trace data and FDC result visualizaztion,Manufacturing,No,,,Current,Hold,no change,,,,,,"thick client to view trace and fdc results -> hold, should consider web client",,,Dirk Wollstein,"Trill, Robert","Manufacturing, Technology & IT",TRUE,TRUE
ET DATA,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab9",Prod,Fab9,Manufacturing,,Manufacturing,No,,,Current,Hold,,,,,,,,,,Dirk Wollstein,,"Manufacturing, Technology & IT",TRUE,TRUE
ETRACE (ETEST DISPOSITION),3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab7",Prod,Fab7,Manufacturing,,Manufacturing,,Camline Etest Data Analysis & Disposition,,Current,Hold,,,,,,,,,,Dirk Wollstein,QingYu,"Manufacturing, Technology & IT",TRUE,TRUE
ETSS SPC,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab9",Prod,Fab9,Manufacturing,SPC,Manufacturing,No,SPC system,,Current,Hold,no change,,,,,,"Enhanced Technology Support System, no plan to migarte towards OneGF solution yet",,,Dirk Wollstein,Christina Donovan,"Manufacturing, Technology & IT",TRUE,TRUE
F9 - APC Apps (ETSS?),3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab9",Prod,Fab9,Manufacturing,RTR application,Manufacturing,,R2R Control,,Current,Hold,no change,,,,,,"RTR Control, no plan yet migrate to OneGF solution",,,Dirk Wollstein,Christina Donovan,"Manufacturing, Technology & IT",,
FabGuard,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab8, Fab9",Prod,"Fab8, Fab9",Manufacturing,Fault Detection and  Classification,Manufacturing,No,Fault Detection & Control,,Current,Hold,no change,,,,,,Rationalization of FDC App is not focus for next few years,,,Dirk Wollstein,Niels Rackwitz,"Manufacturing, Technology & IT",TRUE,TRUE
R2R- APC-GUI,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab7",Prod,Fab7,Manufacturing,APC user interaction,Manufacturing,No,WebServer,,Current,Hold,no change,,,,,,"some usecases are migarted to setup.fc, but no plans for gernal user interaction",,,Dirk Wollstein,"Phan, Van Tuan","Manufacturing, Technology & IT",TRUE,TRUE
RapidFD,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab1",Prod,Fab1,Manufacturing,Fault Detection and  Classification,Manufacturing,No,Fault Detection & Control,,Current,Hold,no change,,,,,,Rationalization of FDC App is not focus for next few years,,,Dirk Wollstein,Veit Schneider,"Manufacturing, Technology & IT",TRUE,TRUE
SIL (SPACE INTEGRATION LAYER),3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab1, Fab8",Prod,"Fab1, Fab8",Manufacturing,SPC integration layer,Manufacturing,No, SPACE INTEGRATION LAYER,,Current,Assess,N:1 - consolidation,Q3'25,TBD,TBD,Camline,SIL,consider consolidation of spaceGateway and SIL into Camline SIL,,,Dirk Wollstein,"Hegde, Abhay Bhujang","Manufacturing, Technology & IT",TRUE,TRUE
Siview-SPC GATEWAY,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab7, Giga",Prod,Fab7,Manufacturing,SPC integration layer,Manufacturing,No,SiView to SPACE Gateway,,Current,Replace,N:1 - consolidation,Q3'25,TBD,TBD,Camline,SIL,consider consolidation of spaceGateway and SIL into Camline SIL,,,Dirk Wollstein,,"Manufacturing, Technology & IT",,
SPACE,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab1, Fab7, Fab8, Giga",Prod,"Fab1, Fab7, Fab8, Giga",Manufacturing,SPC,Manufacturing,,"SPACE-SEC Statistical Equipment Control; like FDC KN, SPC - SPACE-SEC Statistical Equipment Control; like FDC KN",,Current,Invest ,no change,,,,,,No Change,,,Dirk Wollstein,,"Manufacturing, Technology & IT",TRUE,TRUE
SPACE-Chart Renderer,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab1",Prod,Fab1,Manufacturing,,Manufacturing,, SPACE utility to visualize chart,,Current,Hold,no change,,,,,,No Change,,,Dirk Wollstein,Mark Reiche,"Manufacturing, Technology & IT",TRUE,TRUE
SPACE-FACILITIES,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab1, Fab7, Fab8, Giga",Prod,"Fab1, Fab7, Fab8, Giga",Manufacturing,SPC,Manufacturing,,So SPACE - IQA is not listed here,,Current,Invest ,no change,,,,,, Integration with SAP S4 EAM,,,Dirk Wollstein,,"Manufacturing, Technology & IT",TRUE,TRUE
SPACE-STARGATE,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab1, Fab7, Fab8, Giga",Prod,"Fab1, Fab7, Fab8, Giga","Reporting, Analytics",SPC reporting ,Manufacturing,Potential,SPC Reporting,,Current,Invest ,no change,,,,,,No Change,,,Dirk Wollstein,Sebastian Mantke,"Manufacturing, Technology & IT",TRUE,TRUE
SPACE-YDD,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab7",Prod,Fab7,Manufacturing,SPC,Manufacturing,,Yield Defect Density; same as CFM,,Current,Invest ,no change,,,,,,No Change,,,Dirk Wollstein,,"Manufacturing, Technology & IT",TRUE,TRUE
SPC CR (AWS version),3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab7, Giga",Prod,"Fab7, Giga, Fab1",Manufacturing,"support buisness process for SPC chart changes, e.g. CL change",Manufacturing,,"Change Request & Approval Workflow, integrated with SPC from F7 and Giga. It is used for US and Dresden but no integration with their SPC systems., Change Request & Approval Workflow",,,Hold,no change,,,,,,"hold, no invest, check for CAMLINE solution first",,,Dirk Wollstein,,"Manufacturing, Technology & IT",TRUE,TRUE
SPC CR (Google version),3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab1, Fab8",Prod,Fab8,Manufacturing,"support buisness process for SPC chart changes, e.g. CL change",Manufacturing,,Change Request & Approval Workflow,,,Retire,1:N - replacement,TBD,,,,," Should be retired, replace by  SPC CR (AWS version)",,,Dirk Wollstein,,"Manufacturing, Technology & IT",TRUE,TRUE
TraceEDA client,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab1, Fab8",Prod,"Fab1, Fab8",Manufacturing,IFA client ,Manufacturing,, Trace engineering data acuisition,,Current,Hold,no change,,,,,,No Change,,,Dirk Wollstein,"Thomas Heller, Niels Rackwitz","Manufacturing, Technology & IT",TRUE,TRUE
Wafer Sampling / Jeopardy Engine,3. GTO Done,Manufacturing,Delete,,"Corp, Fab7",Prod,Fab7,Manufacturing,,Manufacturing,,Wafer Sampling,,,Retire,1:0 - retirement,Q1'25,Q3'25,,PCL,iQSampling,,,,Jimmy Goh,Wang Sim Kit,"Manufacturing, Technology & IT",TRUE,TRUE
WIPMASTER,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab9",Prod,Fab9,Manufacturing,Lot sampling engine,Manufacturing,No,"Reads data from FOD, applies configured sampling rules, feeds Sample/Skip decision to RTD for execution",,Legacy,Assess,,,,,,,Potential to be replaced by PCL or Inficon MSO (Mfg Sampling Optimizer),,,Detlef Pabst,John Smyth,"Manufacturing, Technology & IT",TRUE,TRUE
Wonderware,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab1, Fab8",Prod,"Fab1, Fab8",Manufacturing,Trace Data Base,Manufacturing,No,"Wonderware, Wonderware for FDC and EDA",,Current,Assess,1:N - replacement,Q4'25,,,,,"assessment of replacement by InfluxDB ongoing for Fab1
replace by E3 in Fab8 ",,,Dirk Wollstein,"Veit Schneider, Niels Rackwitz","Manufacturing, Technology & IT",TRUE,TRUE
ETSS,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab9",Prod,Fab9,Manufacturing,"Platform for PCL, RtR, SPC",Manufacturing,No,"Platform for PCL, RtR, SPC",,Current,Hold,no change,,,,,,"Enhanced Technology Support System, no plan to migarte towards OneGF solution yet",,,Dirk Wollstein,Christina Donovan,"Manufacturing, Technology & IT",TRUE,TRUE
DMW-F1,3. GTO Done,Manufacturing,TBD,Process and Equipment Control,"Corp, Fab1",Corp,Fab1,Manufacturing,Reticle & Design data (e.g. for MRA or Dosemapper),,,The DMW database supports the mask design and specification portions of the Design for Yield (DFY) and Design for Manufacturing (DFM) processes.,,Current,Assess,no change,2024,Q4'26,No,TBD,,No Change,,,Andre Holfeld,James Zeim,"Manufacturing, Technology & IT",TRUE,TRUE
E3 FDC,3. GTO Done,Manufacturing,No,Process Control,"Corp, Fab8",Prod,Fab8,Manufacturing,Fault Detection and  Classification,Manufacturing,No,Fault Detection & Control,,Current,Hold,no change,,,No,,,Rationalization of FDC App is not focus for next few years,,"GF, AMAT",Dirk Wollstein,Niels Rackwitz,"Manufacturing, Technology & IT",TRUE,TRUE
E3 R2R,3. GTO Done,Manufacturing,No,Process and Equipment Control,"Corp, Fab8",Prod,Fab8,Manufacturing,Process Control,Manufacturing,No,R2R Control,,Current,Invest ,no change,,,No,,,"AMAT E3 app platform for run to run control,",,"GF, AMAT",Dirk Wollstein,Niels Rackwitz,"Manufacturing, Technology & IT",TRUE,TRUE
Aribter for Process Owner,3. GTO Done,Manufacturing,No,Mfg,"Corp, Fab7, Giga",Corp,"Fab7, Giga",,,Manufacturing,No,"Java application for Fab35 Process Owners
FacilityAnno
ToolMatching
SPCMart-GigaFab
ET Anno",,Current,Hold,no change,,,,,,,,,Jimmy Goh,Hendrik Holz,"Manufacturing, Technology & IT",TRUE,TRUE
